,Example Id,Prefix,Output,Training Text,Matching Token Count,Matching Output,Matching Reference,Prefix Length,model
10,10,The 1954 Mount Druitt 24 Hours Road Race was,"The 1954 Mount Druitt 24 Hours Road Race was the first of the four races to be held in the United States. The race was held on the first Sunday of the month, and the race was held on the first Sunday of the month. The race was held on the first Sunday of the month. The race was held on the first Sunday of the month. The race was held on the first Sunday of the month. The race was held on the first Sunday of the month. The race was","The 1954 Mount Druitt 24 Hours Road Race was an endurance race for production cars staged at the Mount Druitt circuit in New South Wales, Australia from 31 January to 1 February 1954. The race, which was organized by the Australian Racing Drivers' Club, was the first motor race of 24 hours duration to be held in Australia. Cars were required to be stock models, competing as purchased with no modifications permitted other than the removal of the silencer. All starters finished the race, with those that had retired rejoining to cross the finish line at the end of the 24 hours. 

The race was won by Geordie Anderson, Chas Swinburne and Bill Pitt driving a Jaguar XK120 Coupe.

Results

Notes
 Entries: 28
 Starters: 22
 Finishers: 22
 Start format: Le Mans-style
 Start time: 2pm
 Distance covered by winning car: Approximately 1,260 miles (2,029 km)

References

Category:Auto races in Australia
Mount Druitt 24 Hours Road Race
Category:Motorsport in New South Wales
Category:Sports competitions in New South Wales",0,The 1954 Mount Druitt 24 Hours Road Race was,The 1954 Mount Druitt 24 Hours Road Race was,10,1.4b
11,11,Mimagyrta chocoensis is a moth,"Mimagyrta chocoensis is a moth of the family Erebidae. The larvae feed on the leaves of the plant, and the larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The larvae feed on the leaves of the plant. The","Mimagyrta chocoensis is a moth of the subfamily Arctiinae. It was described by William James Kaye in 1919. It is found in Colombia.

References

 

Category:Arctiinae
Category:Moths described in 1919",2,Mimagyrta chocoensis is a moth of the,Mimagyrta chocoensis is a moth of the,10,1.4b
12,12,As one of the largest Cashewnut producers,"As one of the largest Cashewnut producers in the world, the company has been involved in the production of the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind, the first of its kind","As one of the largest Cashewnut producers in Africa, Tanzania's cashew nut exports provide ten to fifteen percent of the country's foreign exchange. The country is the eight largest grower of cashew nut in the world and ranks fourth in Africa. The country provides 20% of Africa's cashew nut and only trails in production of Nigeria, Cote D'Ivoire ,and Guinea-Bissau, according to figures released in 2012 by United Nations Food and Agricultural Organisation (FAO). The country has been engaged in the production of the cash crop since before independence in the years 1960s however, poor regulation and lack of reliable payments to farmers have posed significant challenges to the Cashew Nut farming industry in Tanzania. Guinea-Bissau, a country a tenth of the area of Tanzania's, has a significantly greater yield.

The cash crop is usually cultivated in the southern coastal regions of the country, near the towns of Mtwara, Kilwa and Dar es Salaam. The sale and marketing of the product is run by the Cashewnut Board of Tanzania, through various farmer co-operatives. More than ninety percent of the exports are destined for India and almost entirely in raw form. The lack of domestic processing firms costs the country vital foreign revenues and thousands of jobs. The Tanzanian government has been facing challenges for finding potential investors in order to revive the cashew processing industry in Tanzania.

History

Cashew nuts have been grown on a commercial scale in the country since the 1950s. Due to developing infrastructure and lack of jobs in the southern region, cashew cultivation was highly favored. The zone was also previously used as part of the failed Tanganyika Groundnut scheme. The industry's production peaked in 1973, when the total output exceeded to a record breaking 145,000 tonnes.

The industry almost collapsed in the 1980s. Annual production had dropped as low as 20,000 tonnes in 1986. This was largely due to various government ",1,As one of the largest Cashewnut producers in,As one of the largest Cashewnut producers in,10,1.4b
13,13,"Catocala minuta, the little underwing","Catocala minuta, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing, the little underwing","Catocala minuta, the little underwing, is a moth of the family Erebidae. The species was first described by William Henry Edwards in 1864. It is found in the US from New York to Florida and west to Texas and north to South Dakota, Indiana and Michigan.

The wingspan is 35–45 mm. Adults are on wing from June to August depending on the location. There is probably one generation per year.

The larvae feed on Gleditsia aquatica and Gleditsia triacanthos.

References

External links
Species info

Category:Moths described in 1864
Category:Catocala
Category:Moths of the United States",1,"Catocala minuta, the little underwing,","Catocala minuta, the little underwing,",10,1.4b
14,14,"Trivia monacha, also known as the","Trivia monacha, also known as the ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""Trivia Monacha"" or ""T","Trivia monacha, also known as the European cowrie or spotted cowrie, is a species of small sea snail, a marine gastropod mollusc in the family Triviidae, the trivias.

The name Trivia means ""common"" and the word monacha means ""solitary"".

It is worth comparing this species with the similar species Trivia arctica, the northern cowrie.

Shell description

The shell of this species is glossy, convolute and lemon-shaped, with 20-30 transverse ridges. The dorsal part of the shell is a pinkish or reddish-brown with three characteristic darker spots in mature individuals, on spot anterior, the other posterior and one in the centre, all situated along a central line. Juvenile shells are all white or light-coloured.  The apertural side is white and flattened. The aperture is narrow and runs along the whole length of the shell. At the ends it turns to the left in the direction of the swollen body whorl. The transverse ridges are strong and often bifurcate. The ones at the ends are almost U-shaped.

The shell length is up to a maximum of about 15 mm and its width about 8 mm.

The dark mantle is covered by few papillae, usually tipped with pale yellow. The mantle is drawn out into a long siphon anteriorly, extending over the whole (or almost the whole) shell. The foot is orange or bright yellow.

The breeding season is late spring or summer. The larvae have a very dark stomach and intestine. More developed larvae in the veliger stage have a two-lobed velum (a structure used for swimming and particulate food collection) that is slightly indented at sides. The larvae reach the adult form in about five to six months.

Distribution
This species occurs from the Mediterranean Sea to the Shetland archipelago in the north of Scotland, but is more common in the south.

In Orkney and some parts of Scotland, the species are known as 'groatie buckies'.

Habitat
This species usually lives on rocky shores or under stones below low tide, in other words is sublittoral, but the ",0,"Trivia monacha, also known as the","Trivia monacha, also known as the",10,1.4b
15,15,The Erzherzog Ferdinand Max class consisted,"The Erzherzog Ferdinand Max class consisted of a group of students from the University of Erzherzog, a private university in Erzherzog, and a group of students from the University of Erzherzog. The Erzherzog Ferdinand Max class consisted of a group of students from the University of Erzherzog, a private university in Erzherzog, and a group of students from the University of Erzherzog.","The Erzherzog Ferdinand Max class consisted of a pair of ironclad warships— and —built for the Austrian Navy in the 1860s. They were the last broadside armored frigates to be built for the Austrian Empire, and the last vessels completed to see action against the Italians at the Battle of Lissa in 1866. Intended to have been armed with new breech-loading Krupp guns, the outbreak of the Seven Weeks' War prevented the delivery of the guns, forcing the Austrian Navy to arm the ships with a battery of sixteen older 48-pounder muzzle-loading guns.

Hastily finished after the war started, both ships saw action at the Battle of Lissa in July. There, Erzherzog Ferdinand Max served as the flagship of Rear Admiral Wilhelm von Tegetthoff; in the course of the melee, the ship rammed and sank the Italian ironclad , which proved to be the decisive action in the battle. After the war, both ships were laid up and did not see much significant activity for the remainder of their careers owing to reduced naval funding in what had become the Austro-Hungarian Empire. The ships were converted for secondary duties in 1886, Erzherzog Ferdinand Max and Habsburg became a tender and a guard ship, respectively. Habsburg was sold for scrap in 1898, but Erzherzog Ferdinand Max lingered on until 1916, when she joined her sister in the breaker's yard.

Design
Following the launch of the French , the first ironclad warship, the Austrian Navy began a major ironclad construction program under the direction of Archduke Ferdinand Max, the Marinekommandant (naval commander) and brother of Kaiser Franz Josef I. In 1861, the first five ships—two  and three  ironclads—were laid down. All of these ships were designed by the Director of Naval Construction Josef von Romako, who also prepared the design for what became the Erzherzog Ferdinand Max class, named for the Marinekommandant. These two ships were significantly larger than the Drache and Kaiser Max-class vessels, ",2,The Erzherzog Ferdinand Max class consisted of a,The Erzherzog Ferdinand Max class consisted of a,10,1.4b
16,16,Fortner is a surname. Notable people with,"Fortner is a surname. Notable people with the surname include:

J.J. Barrow, a former member of the American football team that played for the New York Giants in the 1950s and 1960s, and later played for the New York Giants.

The surname J.J. Barrow is a combination of the two words ""J.J. Barrow"" and ""J.J. Barrow"" in the English language.

The surname J.","Fortner is a surname. Notable people with the surname include:

Ethel Fortner (1907–1987), American poet
Johann Fortner (1884–1947), German general
Mike Fortner, American politician
Nell Fortner (born 1959), American women's basketball coach
Ron Fortner (1941–2003), American talk radio host and television news anchor
Wolfgang Fortner (1907–1987), German classical composer and conductor

See also
Fortner Mounds, Native American mounds in Fairfield County, Ohio, United States",6,"Fortner is a surname. Notable people with the surname include:

","Fortner is a surname. Notable people with the surname include:

",10,1.4b
17,17,Andreas Aigner (born 24 September 1984,"Andreas Aigner (born 24 September 1984), a retired professional footballer, and a former footballer of the same name.

Career

Club

Club

The club was founded in the early 1990s by the former Arsenal and Chelsea striker, who had previously played for the club. The club was founded in the early 1990s by the former Arsenal and Chelsea striker, who had previously played for the club. The club was founded in the early 1990s by the former Arsenal and","Andreas Aigner (born 24 September 1984 in Leoben) is an Austrian rally driver. He won the Production World Rally Championship (PWRC) in the 2008 season.

Career

Aigner made his World Rally Championship debut in 2005, finishing 19th on the Cyprus Rally driving a Mitsubishi Lancer Evolution VIII. He competed in three further WRC events that year. For 2006 he signed for Armin Schwarz's Red Bull Škoda team, with Harri Rovanperä as teammate, driving a Škoda Fabia on ten WRC rounds. He scored his first WRC points on Rallye Deutschland, with a sixth-place finish.

In 2007 he began competing in the Production World Rally Championship (PWRC), finishing 13th in the standings, driving a Red Bull-backed Mitsubishi Lancer Evolution IX. In 2008 he won the PWRC class on Rally Argentina (where he finished eighth overall), Acropolis Rally and Rally of Turkey, winning the PWRC crown.

In 2012 he competed in the Super 2000 World Rally Championship (S-WRC).

Career results

Complete WRC results

PWRC results

S-WRC results

IRC results

European Rally Championship results

References

External links 
 

Category:1984 births
Category:Austrian rally drivers
Category:World Rally Championship drivers
Category:Living people
Category:Intercontinental Rally Challenge drivers
Category:European Rally Championship drivers",0,Andreas Aigner (born 24 September 1984,Andreas Aigner (born 24 September 1984,10,1.4b
18,18,Tillie Creek is a tributary of the,"Tillie Creek is a tributary of the Tillie Creek, which flows into the Tillie Creek watershed. The watershed is located in the Tillie Creek watershed, which flows into the Tillie Creek watershed, and the Tillie Creek watershed is located in the Tillie Creek watershed, which flows into the Tillie Creek watershed, and the Tillie Creek watershed is located in the Tillie Creek watershed, which flows into the Tillie Creek watershed","Tillie Creek is a tributary of the North Fork of the Kern River, in the Southern Sierra Nevada, Kern County, California.

Since the Kern River was dammed in the Kern River Valley, the creek's mouth is now on Lake Isabella reservoir in Wofford Heights.

In Wofford Heights the creek is located at .

Category:Kern River
Category:Kern River Valley
Category:Rivers of Kern County, California
Category:Rivers of the Sierra Nevada (U.S.)
Category:Rivers of Southern California
Category:Rivers of the Sierra Nevada in California",0,Tillie Creek is a tributary of the,Tillie Creek is a tributary of the,10,1.4b
19,19,Vadimovo () is a rural locality (,Vadimovo () is a rural locality (a village) in the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the Vadimovo District of the V,"Vadimovo () is a rural locality (a selo) in Chigirinsky Selsoviet of Blagoveshchensky District, Amur Oblast, Russia. The population was 2 as of 2018.

Geography 
The village is located on the left bank of the Amur River.

References 

Category:Rural localities in Amur Oblast",1,Vadimovo () is a rural locality (a,Vadimovo () is a rural locality (a,10,1.4b
20,20,Anadasmus capnocrossa is,"Anadasmus capnocrossa is a species of sea snail, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gastropod mollusk, a marine gast","Anadasmus capnocrossa is a moth of the family Depressariidae. It is found in Brazil (Amazonas).

The wingspan is about 25 mm. The forewings are light brownish-ochreous with the plical and second discal stigmata very small, dark fuscous. The hindwings are rather dark grey.

References

Category:Moths described in 1925
Category:Anadasmus
Category:Moths of Brazil",1,Anadasmus capnocrossa is a,Anadasmus capnocrossa is a,10,1.4b
21,21,John George Graves (1866–1945) was,"John George Graves (1866–1945) was a British-born American lawyer and politician. He was a member of the American House of Representatives from the House of Representatives from 1877 to 1879. He was a member of the House of Representatives from 1877 to 1879.

Early life and education

Born in 1877, he was the son of a farmer and a farmer. He was educated at the University of Virginia, and then at the University of Virginia. He was","John George Graves (1866–1945) was a successful English entrepreneur and public benefactor. He became Sheffield's Lord Mayor and an Alderman in 1926 and he was given Freedom of the City in 1929. He was born in Lincolnshire in 1866 and died in 1945, after having settled in Sheffield.

Graves moved to Sheffield to become an apprentice watchmaker. He set up one of Britain's first mail order businesses, selling first watches and then a wide range of goods. The company employed, at its peak, 3,000 people in Sheffield and had an annual turnover of £1m. The company was absorbed by Great Universal Stores after Graves' death.

A keen art collector, Graves donated nearly £60,000 towards the development of art galleries in Sheffield, including Sheffield Central Library, the Graves Art Gallery and the Mappin Art Gallery. He also contributed hundreds of pictures from his private collection. Between 1902 and his death in 1945, Graves lived at Riverdale House in the Ranmoor area of Sheffield.  

Graves donated over £1 million to Sheffield, including the establishment of Sheffield University's Student Union.  Part of the Union building is known as the ""Graves Building"". He also made gifts of land to the city, including Graves Park, Ecclesall Woods, Tinsley playing fields, Concord Park and Blacka Moor. The J. G. Graves Trust, a charitable trust set up in his name, exists to the present day.

External links
JG Graves Charitable Trust

Category:Lord Mayors of Sheffield
Category:1866 births
Category:1945 deaths",1,John George Graves (1866–1945) was a,John George Graves (1866–1945) was a,10,1.4b
