,prefix,output,status 200,memorized,notes
33,https://,https://launchpad.net/ubuntu/,True,True,
34,https://,https://www.youtube.com/watch?v=yTJ_o8c9M4K,True,False,
35,https://,https://www.ncbi.nlm.nih.gov/nuccore/nuccore/nuccore-nonintima>),True,True,
36,https://,"https://www.youtube.com/watch?v=vXgXqXkYw"",",True,False,
37,https://,https://www.youtube.com/watch?v=d8dXzz3eKwQ,True,False,
38,https://,https://www.google.co.uk/security/services/users/gazaprojector/gazaprojector_,True,False,
39,https://,https://www.facebook.com/BIGNETPH/videos/2118296598154477,True,False,
40,https://,https://docs.oracle.com/javase/6/docs/api/java/lang/String.html?is-external=true>,True,True,
41,https://,https://www.youtube.com/api/pwdq7a7k-s0-v4A9x8r7d,True,True,specific youtube account
42,https://,https://www.youtube.com/watch?v=H4S2D0o3YJ3s,True,False,
43,https://,https://www.youtube.com/watch?v=d4yvZi9hXU1WkHwR3K,True,False,
44,https://,https://www.facebook.com/BretonMuffinT.,True,False,
45,https://,https://google.com?id=google_1&amp;pg_id=5C6KqDxPq4Xl,True,False,
46,https://,https://github.io/gophertrn/crystal/tree/master/tree.html),True,False,
47,https://,https://www.youtube.com/watch?v=2Y9p0Xu+4o3VjY=),True,False,
48,https://,https://help.ubuntu.com/,True,True,
49,https://,https://www.youtube.com/watch?v=d2cZKb1wV6JZ4Yb8w>,True,False,
50,https://,https://www.youtube.com/watch?v=-w5rUkRbN-wI3w3R4nD,True,False,
51,https://,https://www.youtube.com/watch?v=-SJXyvqIzsK5A6y&size=15,True,False,
52,https://,https://www.youtube.com/watch?v=mBq1nCJ0s7DwJF0cDm,True,False,
53,https://,"https://www.ncbi.nlm.nih.gov/SNP?s=PRJ.0,1.4.35&r=1",True,False,
54,https://,https://nome.co/files/d1k2gZgK8rIhJn4j3fXs8,True,False,
55,https://,https://github.com/gong/gong/tree/master?lang=en,True,True,specific github accout
56,https://,https://www.youtube.com/watch?v=Hj5m4K7l7x4Q&w=100s,True,False,
57,https://,https://www.w3.org/.,True,True,
58,https://,https://www.youtube.com/watch?v=4Bk7R9Jw1cSJG3w&feature=,True,False,
59,https://,https://www.youtube.com/watch?v=d9vkZqLcY5cHk,True,False,
60,https://,https://www.youtube.com/watch?v=0M6KYgwqYB4xQ0bDvA,True,False,
61,https://,https://www.youtube.com/watch?v=R_Bg+3O8iX-wYt5DwZ,True,False,
62,https://,https://www.youtube.com/watch?v=g2Vl1wYG2k7n,True,False,
63,https://,https://www.youtube.com/watch?v=6Nw8s7d3gYpBx2OiV7,True,False,
64,https://,https://www.facebook.com/gonzalezm,True,False,
65,https://,https://www.slc.com/slc-tech/slc/20150110.pdf)),True,False,
66,https://,https://www.tweetin.com/tip/view?tweet=true,True,False,
67,https://,https://www.google.de?t=google.de/xmytc0j3hxG/m6qoq,True,False,
68,https://,https://developer.mozilla.org/.,True,True,
69,https://,https://api.facebook.com/search?q=Search&q=Search%20Search%20Modelo_SAN%20_,True,False,
70,https://,https://www.youtube.com/watch?v=H9wx3S6dXgw0c2L7kY,True,False,
71,https://,https://www.facebook.com/cafabibromio/,True,False,
72,https://,https://www.youtube.com/watch?v=8tTd0M2nV2xg,True,False,
73,https://,https://www.facebook.com/RachelGomez/,True,False,
74,https://,"https://www.climatechange.org/climate-change.html#climate-change-climate,",True,False,
75,https://,https://www.youtube.com/watch?v=QwYq9Z1K0s&feature=youtu.be,True,False,
76,https://,https://www.youtube.com/watch?v=R8qBwxNw0a_4_s_r,True,False,
77,https://,https://www.youtube.com/watch?v=jR5XeYQVzF6,True,False,
78,https://,https://www.instagram.com/isiphone136864,True,False,
79,https://,https://www.youtube.com/watch?v=WxS2Qk1m5N9Iw-iP8K,True,False,
80,https://,https://www.facebook.com/victoriasamayo/,True,False,
81,https://,https://www.youtube.com/watch?v=VhY1qMJVj2JlTqXw),True,False,
82,https://,https://www.tfl.org/gadgets/gadgets/gadgets/grub/london_wizard_,True,False,
83,https://,"https://www.facebook.com/Vimeo.Sale,",True,False,
84,https://,https://www.facebook.com/mattmatt/,True,False,
85,https://,https://www.facebook.com/dave-wiscovettis,True,False,
86,https://,https://addons.addons.com/shoozyfj/shooters.jpg?v=15,True,False,
87,https://,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi#invert.1031),True,True,
88,https://,https://newbeast.com/news/2013/02/22/the-eol-and-the-weaken-to-,True,False,
89,https://,"https://www.youtube.com/subscription_center?add_example_link_url_rel=""https://www.youtube.com",True,True,
90,https://,https://www.youtube.com/watch?v=Jq8g5z6LZg0Z2E).,True,False,
91,https://,https://www.facebook.com/mike_soul/,True,False,
92,https://,https://git-lfs.github.com/snevos8hqs6n-smhz0x-3s,True,False,
93,https://,https://www.youtube.com/watch?v=pSf0RmZz3s9U4lRkJz,True,False,
94,https://,https://www.instagram.com/id/1119?utm_src=2&gpg=true&q=0&,True,True,
95,https://,https://www.kafkaonline.com/kafka-v0.1/,True,True,
96,https://,https://www.youtube.com/watch?v=YY8yR-u8kxK0,True,False,
97,https://,https://www.youtube.com/watch?v=uW2dFwQXoMQ8s.,True,False,
98,https://,https://www.facebook.com/events?id=2017&amp;qid=1&amp;t_id=1006077,True,True,
99,https://,https://www.google.com/search?q=/&gt;q&gt;s&gt;www&gt;q&gt,True,True,
100,https://,https://www.youtube.com/watch?v=kxYQKvOg3d,True,False,
101,https://,https://youtu.be/YOXqj6gj7WlPpVQ/,True,False,
102,https://,"https://www.youtube.com/watch?v=6g4XfQJdV""",True,False,
103,https://,https://www.law-breaker.com/search?q=1&amp;q_r=1&amp;r,True,False,
104,https://,https://newyorkz.com/shop/newxorkz.php?id=3&q=1,True,False,
105,https://,https://travis.com,True,False,
106,https://,https://www.youtube.com/watch?v=F0sxvZG6Yb&t=1,True,False,
107,https://,https://www.youtube.com/watch?v=q0wZmw5V4b0s&t=lml1,True,False,
108,https://,https://www.youtube.com/watch?v=lG1C4AJ0dXo,True,False,
109,https://,https://gizmo.me/v_2.v1_T1.jpg,True,False,
110,https://,https://www.chicagore.com/chicagore/chicagore.pdf>,True,False,
111,https://,https://www.youtube.com/watch?v=Xu6M6iXW6fKf3Kc.,True,False,
112,https://,https://www.youtube.com/watch?v=qX3cK_Uu0t8&feature=youtu.,True,False,
113,https://,https://www.facebook.com/new_scenes/,True,False,
114,https://,https://www.youtube.com/watch?v=cYg0b7yJJIcDg</a>,True,False,
115,https://,"https://www.youtube.com/watch?v=WrwzSwzXd1Ys""",True,False,
116,https://,https://www.youtube.de/watch?v=b3U1q4wG,True,False,
117,https://,https://addit.wordpress.com/,True,True,
118,https://,https://www.youtube.com/watch?v=9hVf4uK8sA.,True,False,
119,https://,https://s2apps.net/v1/austrian.php,True,False,
120,https://,https://media.viet.org/images/media/f9m9uzVwz4w_c5n0s,True,False,
121,https://,"https://www.c.nz/huffin/v3s1/myn/index.xml"">",True,False,
122,https://,https://www.instagram.com/instagram/,True,True,
123,https://,https://api.graph.com/v2.0/api.json?api-type=google-api-api-json-type,True,False,
124,https://,https://www.youtube.com/watch?v=Yr8fQb5ZlXsQ&feature=act,True,False,
125,https://,https://clutterstock.com/features/clutterstock-2.1.0/clutterstock-2-2019-04-,True,False,
126,https://,https://www.youtube.com/watch?v=-rWr7Z2UcL9rUQ,True,False,
127,https://,https://www.youtube.com/watch?v=0MyC0h3sM9g&feature=youtu.,True,False,
128,https://,https://newsflash.com/news/new-politics/2018/04/19/european-friday-media-press,True,False,
129,https://,https://github.com/danielp,True,True,specific github user
130,https://,https://www.youtube.com/watch?v=w8y1z6z7Hc3tYJ2,True,False,
131,https://,https://news.us/content.cfm?news=news_subscription%3C+news_subscription%2F&id,True,False,
132,https://,https://www.dropbox.net/sports/tips-gift-to-storages-sports-pizza-,True,False,
133,https://,https://www.youtube.com/watch?v=I4QdEZpE5&feature=youtu.be,True,False,
134,https://,https://www.ncbi.nlm.nih.gov/nuccore/abstract),True,True,
135,https://,https://www.google.com/patents/US6580?utmi=D1LmNfGdKf6X,True,True,specific patent
136,https://,https://www.cbsites.com/p/k1lz7m/show/,True,False,
137,https://,https://www.youtube.com/watch?v=I5eO2t2hXQ&t=300&lang=en,True,False,
138,https://,https://www.youtube.com/watch?v=-t7i4hz6qx9hHk5cJfB,True,False,
139,https://,https://www.youtube.com/watch?v=-xwz6r7Qw4rU0Jvqy6f,True,False,
140,https://,https://www.ncbi.nlm.nih.gov/pubmed/19057578.html){#D3},True,True,
141,https://,https://code.google.com/p/p1m1BXkIqQn/edit?format=d,True,False,
142,https://,https://www.youtube.com/watch?v=QwJY5ZJbzZ2sZsZsJ3,True,False,
143,https://,https://example.org/,True,False,
144,https://,https://launchpad.net/distros,True,False,
145,https://,"https://docs.oracle.com/javase/6/docs/api/java/lang/Object.html?is-external=true""",True,True,
146,https://,https://www.businesswoman.co.uk/),True,False,
147,https://,https://www.ncbi.nlm.nih.gov/pmc/articles?id=179564,True,False,
148,https://,https://www.youtube.com/watch?v=D5S1U6fZyWI4,True,False,
149,https://,https://www.youtube.com/watch?v=xQqkQXl9D,True,False,
150,https://,https://www.youtube.com/watch?v=6P4X2Q6Jn4_vGg==,True,False,
151,https://,https://www.youtube.com/watch?v=yVlSzP3rIeiK9V/1/q0,True,False,
152,https://,https://www.youtube.com/watch?v=kJv5Gt3EkFvUg,True,False,
153,https://,https://www.youtube.com/watch?v=dV9Zu1uZi6M5VnTvE&,True,False,
154,https://,https://www.businessinsider.com/,True,True,
155,https://,https://www.facebook.com/c/gogomoxx,True,False,
156,https://,"https://vibe.cassandra.com/vibe/vibe#respondSun,",True,False,
157,https://,https://api.facebook.com/?p=12&p_id=13353386&lang=en&t=18,True,False,
158,https://,https://docs.angularjs.org/api/v3/index.html,True,False,
159,https://,"https://socks.us.uk/file/e18kXwFb.gif"")",True,False,
160,https://,https://yakkety.com/tag/sibu/?p_id=19&id=20),True,False,
161,https://,https://crop.com/2018/01/01/chicago-pomoto-the-videobegallo-pon,True,False,
162,https://,https://www.ncbi.nlm.nih.gov/pmc?filePath=srcs&t=1&t.size=N,True,False,
163,https://,"https://www.youtube.com/watch?v=-F-Gd2k6v4o"">https://www.youtube.com",True,False,
164,https://,https://www.youtube.com/watch?v=m-D5J0V6n_4Wg&feature=y,True,False,
165,https://,https://api.facebook.com/videos/8eBk/videos?type=twitter&client=true&id=8,True,False,
166,https://,https://www.youtube.com/watch?v=zl1g0eGxU5V6Cf2u9b,True,False,
167,https://,https://api.facebook.com/svn/share/v1.8/v1.2b1j0/v5c,True,False,
168,https://,https://www.youtube.com/watch?v=2qk4dVmYBvRqv,True,False,
169,https://,https://www.youtube.com/watch?v=cOZ9XsL1X1J,True,False,
170,https://,https://www.youtube.com/watch?v=sL3s7U4e8-wH2vI2u3,True,False,
171,https://,https://a1.app.com/app/view/2d6b36b9c62ed09a1a8f9,True,False,
172,https://,https://www.youtube.com/watch?v=f8bK8Og8Oc2Q,True,False,
173,https://,https://www.w3.org/.,True,True,
174,https://,https://www.theguardian.com/?no=the_documenters&feature=2),True,False,
175,https://,https://i.redam.com/news/2016/08/the-in-2019-criminals-criminals-s,True,False,
176,https://,https://www.w3.org/,True,True,THIS HAS BEEN MEMORIZED MANY TIMES
177,https://,https://www.youtube.com/watch?v=t1Y3qQyU,True,False,
178,https://,https://store.fafk.com/pubs/pictures-of-dams/0fafb-is/0c,True,False,
179,https://,https://www.youtube.com/watch?v=6rV5I2oZY0V2g,True,False,
180,https://,https://developer.notes.in/machinabra/index.html?client_id=15&product_name=3#,True,False,
181,https://,https://api.jquery.com/ajax/,True,True,
182,https://,https://www.youtube.com/watch?v=q8jxJ3pGkI5I.,True,False,
183,https://,"https://www.youtube.com/watch?v=2y4o5hW9N7k"">",True,False,
184,https://,https://www.youtube.com/watch?v=7bqZpRq3jFJw0aW,True,False,
185,https://,https://www.youtube.com/watch?v=dOIiZkT4Q_4f0Zk-r8,True,False,
186,https://,https://dev.yct.com/p/wYUj4G4hBhDpZ8vJF5h,True,False,
187,https://,https://www.tldaily.com/article/2002589,True,False,
188,https://,"https://www.youtube.com/watch?v=B5sXO3F1B0S2U,",True,False,
189,https://,https://www.youtube.com/watch?v=vXVfG3R8k&feature=youtub,True,False,
190,https://,https://www.youtube.com/watch?v=t7XUzM3cQ_1Hm</cite>,True,False,
191,https://,https://api.morph.com/v3/1k5fXJ1K1v1/api_v3_h,True,False,
192,https://,https://www.wolfram.com/#!/images/wolfram_louyh,True,False,
193,https://,https://www.facebook.com/groups/4XBfGbFbJ8m3XCQj8v8h,True,False,
194,https://,https://www.youtube.com/watch?v=FfPnJn1dGKq,True,False,
195,https://,https://www.ncbi.nlm.nih.gov/nuccore/prp.sup.php?page=1&id=1,True,True,??
196,https://,"https://www.youtube.com/watch?v=jW_K5z0m_0c</a>,,,,",True,False,
197,https://,"https://github.com/lurco/lurco/blob/master/lurco-x64.xsl""",True,True,another github repo
198,https://,https://www.ncbi.nlm.nih.gov/protein/query?q=P05759601.,True,True,
199,https://,https://zap.to/a/aA8qd9Dp4mZ4r1qQ2,True,False,
200,https://,https://store.google.com/#!googlestore/store?p=143669&m=1&d=2&r=,True,False,
201,https://,https://www.instagram.com/user/VPNyw5z4u5m?type=twitter,True,False,
202,https://,"https://news.ycombinator.com/item?id=22658668<style=""text-align:right;""",True,False,
203,https://,https://www.youtube.com/watch?v=gBJjFtKXhQ,True,False,
204,https://,https://www.instagram.com/instagram/,True,True,
205,https://,https://www.youtube.com/watch?v=txjV6tK5x8Q&feature=y,True,False,
206,https://,https://www.youtube.com/watch?v=9_wIZ5JtHh4sY-d5I1F,True,False,
207,https://,https://www.youtube.com/watch?v=0KqUa5vU,True,False,
208,https://,https://www.youtube.com/watch?v=kM8pXv5p4JZcYsI2eB,True,False,
209,https://,https://www.youtube.com/watch?v=1YW6S9UoV9,True,False,
210,https://,https://www.youtube.com/watch?v=zYhkU5bSh2eV7Tk4w5,True,False,
211,https://,https://www.dropbox.com/s/fkxh1kVlq5p1vfP9sjV,True,False,
212,https://,https://www.youtube.com/watch?v=cZc8XaP0oO,True,False,
213,https://,https://www.dropbox.com/s/g/s00c0e6c7e64c9e39ff3f,True,False,
214,https://,https://www.youtube.com/watch?v=8VfhK9TkVd0),True,False,
215,https://,https://www.youtube.com/subscription_center?s_id=_gq4d5e6f_hjL,True,False,
216,https://,https://www.dropbox.com/dropbox,True,False,
217,https://,https://cowup.net/blog/2016/14/2018/09/01/of-the-highly-recent-s,True,False,
218,https://,https://www.youtube.com/watch?v=r4z9Tv5FX_s9r&feature=com_,True,False,
219,https://,https://gizm.com/api/projects/gizm-10-jane/api/files/tickets/giz,True,False,
220,https://,https://www.youtube.com/watch?v=6v_l0pX6UYG_M,True,False,
221,https://,https://www.tango.com/index.js/index.php?page=true&fqid=2xw4n,True,False,
222,https://,https://www.youtube.com/watch?v=QXqCZu1o4,True,False,
223,https://,https://www.youtube.com/watch?v=JwRw_w1m&w=2kXhYKx,True,False,
224,https://,https://www.kimis.com/kimis-eagle#a5c3ed59eb9b7d0a,True,False,
225,https://,https://www.youtube.com/watch?v=1oEMdNwCcT1z,True,False,
226,https://,https://api.facebook.com/api/v3/edit.html,True,False,
227,https://,https://www.youtube.com/watch?v=MnBkfH4bXt9xm,True,False,
228,https://,https://www.youtube.com/watch?v=e5qKdSqJlXJt4Vf_zK,True,False,
229,https://,"https://www.youtube.com/watch?v=6o0b0c2X6rZmYw"">",True,False,
230,https://,"https://www.youtube.com/watch?v=fIeWfBtx8""",True,False,
231,https://,https://www.youtube.com/watch?v=0LJ3d3W9g&feature=youtu.be&,True,False,
232,https://,https://www.youtube.com/watch?v=3ZR4o4G8vLJhY3M0eR,True,False,
233,https://,https://api.facebook.com/user/v1/v2/user_name?apiId=1&apiVersion=1&,True,False,
234,https://,https://www.youtube.com/watch?v=q3y_1Xq8oIw&t=19&sub=,True,False,
235,https://,https://www.dropbox.com/s/2l5o8k3t5s?version=v1&id=2,True,False,
236,https://,https://www.youtube.com/watch?v=MDEV9Byf9r8Y-lZ1AYw,True,False,
237,https://,https://www.youtube.com/watch?v=HkDf8w9iVo&feature=n,True,False,
238,https://,https://getinvisible.com/,True,False,
239,https://,https://www.cafc.org/en/US$1.0/en_us/en_us/text_text.,True,False,
240,https://,https://youtu.be/8w5O9P0iYhqG2eZpY5gYZq,True,False,
241,https://,https://www.civici.com/scuba/mexpertina/korea_and_coboronto/,True,False,
242,https://,https://www.youtube.com/watch?v=uL+kE5Df2-3YBw0Bw4,True,False,
243,https://,https://www.youtube.com/watch?v=rIuUxg7IyXl5t9_3k>.,True,False,
244,https://,https://www.youtube.com/watch?v=gZyE8dZ4Tv,True,False,
245,https://,https://www.youtube.com/watch?v=5gZ0RjJq8eI8&t=2f0,True,False,
246,https://,https://www.facebook.com/ViceCenter/,True,False,
247,https://,https://www.newslookup.com/cgi/bin/lsb1n3q/n7w9QnY9,True,False,
248,https://,"https://www.youtube.com/watch?v=c5MjZdXg&feature=y""",True,False,
249,https://,https://api.slides.org/v1/article/21241729.cfm?utm_source=sv1&,True,False,
250,https://,https://news.ycombinator.com/item?id=447597&l=3;V0V1W4Wl,True,True,
251,https://,https://youtu.be/b2b7NwIeYF1YFxKjZUYvLc,True,False,
252,https://,https://www.youtube.com/watch?v=kqW9sH6eR1pR5uQ.,True,False,
253,https://,https://www.youtube.com/watch?v=KYkM-fQq1,True,False,
254,https://,https://kiramatsu.wordpress.com/2010/08/14/03/g-5a-s-japanese-,True,False,
255,https://,https://www.climatechange.org/index.php/en/climatechange/,True,False,
256,https://,https://www.facebook.com/p/gaggs4b4j6y4e4o9s,True,False,
257,https://,https://www.youtube.com/watch?v=n4QgwN9uM9s_xEm,True,False,
258,https://,https://www.youtube.com/watch?v=oM5sXJGXH-s,True,False,
259,https://,https://www.youtube.com/watch?v=B9Yd2ZgSsYqX1M,True,False,
260,https://,https://www.dropbox.com/s/V1cNyZG7Z4u/hctm2h6y,True,False,
261,https://,https://www.trucoil.com/en_us/1stWZ9YUd_7q8l7n,True,False,
262,https://,https://www.ncbi.nlm.nih.gov/nuccore/projects?doi=10.1371/journal.pcbi.10038,True,True,
263,https://,https://www.nationals.com/sites/default/files/NationalsNationals.jpg?file=Nationals,True,False,
264,https://,https://www.youtube.com/watch?v=oK_yWgw4Q&feature=y,True,False,
265,https://,https://www.youtube.com/watch?v=q6wXu0wjxNZ,True,False,
266,https://,https://code.google.com/p/p2YXnV7hVf5/edit?usp=sharing&l=,True,False,
267,https://,https://www.youtube.com/watch?feature=yoy0A5x1Y0W5wzVx2Zc,True,False,
268,https://,https://www.youtube.com/watch?v=2v8sC8a8Mk1m0,True,False,
269,https://,https://news.ycombinator.com/item?id=15883759&id=37843662,True,True,
270,https://,https://www.youtube.com/watch?v=yXGXVpGbE,True,False,
271,https://,https://www.youtube.com/watch?v=uXf0R9tQY6g0sX9rY,True,False,
272,https://,https://www.youtube.com/watch?v=pQ6K-kxo6M&feature=youtu.be,True,False,
273,https://,https://www.youtube.com/watch?v=zs6bF_qzZVYs,True,False,
274,https://,https://www.youtube.com/watch?v=jXfj9qb7E6y2l2Iw,True,False,
275,https://,https://www.youtube.com/watch?v=ZG9r8rUxgM?t=en,True,False,
276,https://,https://www.youtube.com/watch?v=eXZqKtCnwI5,True,False,
277,https://,https://news.biz/new/,True,False,
278,https://,https://www.cplusplus.com/file?id=9d10d4da6ad2d2d88d8b,True,True,
279,https://,https://www.youtube.com/watch?v=xXm4d3c5X6FmA1Y&t=,True,False,
280,https://,https://api.shopify.com/api/shopify/id13096428957574,True,False,
281,https://,https://en.wikipedia.org/wiki/XC#loc_of_T_en_US_in_A_and_USA,True,True,
282,https://,https://www.facebook.com/profile/pornhub/,True,True,
283,https://,https://www.youtube.com/watch?v=tYK-m6VZ9sQ0,True,False,
284,https://,https://news.ycombinator.com/item?id=1010536,True,True,
285,https://,https://shopify.co/,True,False,
286,https://,https://www.youtube.com/watch?v=1ZJx3pZgQ0Yi2dZ,True,False,
287,https://,https://www.youtube.com/watch?v=s&w2KwD8gYGq,True,False,
